STUDBME2,OPPO F9,Daisy,Alariny,CMP_LAB3,El-lab,CMP_LAB2,WE_41B884,C_H_S_4,C_H_S,AndroidAP3AA9,CMP_LAB1,C_H_S_2,CMP_LAB4,01118680688,C_H_S_3,Mo_Hamza,STUDBME1,Farouk,AG,khodair,01146880660,01118809880,01141472186,Dlink,location
-52,-100,-50,-57,-74,-43,-75,-62,-100,-100,-100,-100,-67,-100,-100,-100,-68,-100,-100,-76,-100,-100,-84,-100,-88,EL 11
-57,-100,-51,-52,-100,-46,-100,-63,-70,-100,-100,-100,-100,-76,-87,-70,-72,-100,-100,-78,-100,-100,-100,-100,-100,EL 11
-52,-82,-51,-55,-100,-100,-100,-68,-67,-100,-100,-70,-100,-72,-100,-100,-74,-100,-100,-68,-100,-100,-100,-88,-100,EL 11
-54,-100,-50,-54,-71,-42,-72,-69,-100,-100,-100,-100,-72,-100,-100,-70,-100,-100,-78,-69,-100,-100,-100,-100,-100,EL 11
-55,-100,-61,-53,-69,-44,-100,-71,-71,-70,-66,-70,-71,-71,-100,-68,-62,-100,-82,-68,-100,-100,-100,-100,-88,EL 11
-53,-100,-51,-61,-100,-46,-69,-83,-100,-100,-100,-100,-67,-100,-100,-100,-64,-73,-100,-100,-100,-100,-100,-100,-88,EL 11
-55,-100,-55,-55,-71,-52,-72,-68,-100,-100,-100,-100,-100,-100,-100,-66,-65,-100,-100,-77,-100,-100,-100,-100,-100,EL 11
-54,-100,-49,-55,-100,-47,-100,-68,-100,-100,-68,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-87,-100,-87,EL 11
-60,-100,-54,-55,-100,-46,-100,-73,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,EL 11
-56,-100,-48,-55,-78,-52,-76,-70,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-82,-73,-100,-100,-100,-93,-100,EL 11
-68,-100,-48,-57,-100,-48,-100,-100,-100,-100,-75,-78,-100,-100,-100,-79,-72,-100,-100,-74,-100,-91,-100,-100,-100,EL 11
-58,-100,-55,-58,-100,-44,-100,-71,-100,-100,-77,-100,-100,-100,-100,-100,-67,-83,-100,-100,-100,-87,-86,-100,-100,EL 11
-72,-100,-55,-56,-100,-45,-100,-73,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,EL 11
-54,-100,-47,-58,-100,-55,-100,-69,-100,-100,-71,-100,-100,-100,-79,-100,-100,-77,-100,-100,-100,-100,-86,-84,-100,EL 11
-60,-88,-48,-54,-100,-52,-100,-66,-100,-100,-100,-100,-80,-100,-100,-100,-74,-100,-100,-68,-100,-83,-100,-100,-88,EL 11
-60,-90,-44,-58,-100,-50,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-81,-100,-100,-100,-100,-88,-100,EL 11
-60,-84,-53,-54,-100,-51,-100,-71,-77,-100,-74,-100,-100,-100,-85,-100,-74,-86,-100,-66,-100,-100,-100,-100,-100,EL 11
-56,-84,-55,-56,-100,-74,-78,-65,-100,-100,-74,-100,-100,-100,-100,-100,-77,-100,-100,-67,-100,-91,-89,-100,-86,EL 11
-57,-83,-47,-57,-100,-100,-100,-66,-100,-100,-100,-100,-75,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-60,-100,-46,-59,-100,-45,-100,-64,-100,-100,-74,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-87,-83,-100,-100,EL 11
-66,-100,-42,-57,-75,-46,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-88,EL 11
-63,-73,-75,-54,-100,-46,-100,-66,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,EL 11
-57,-100,-53,-52,-100,-44,-100,-65,-73,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,EL 11
-53,-84,-50,-66,-100,-50,-69,-68,-100,-65,-64,-100,-66,-100,-88,-100,-72,-75,-100,-74,-88,-100,-100,-100,-86,EL 11
-55,-100,-51,-100,-100,-43,-100,-68,-100,-100,-100,-100,-100,-100,-82,-77,-64,-100,-100,-100,-100,-100,-100,-100,-100,EL 11
-61,-100,-45,-55,-100,-52,-100,-66,-100,-72,-100,-100,-75,-100,-100,-74,-69,-100,-100,-68,-100,-100,-100,-100,-100,EL 11
