WE_41B884,STUDBME2,Daisy,01118680688,01141472186,01118809880,RehabLab,01146880660,Alariny,El-lab,OPPO F9,CUFE,C_H_S_3,C_H_S_4,Etisalat,AndroidAP3AA9,AG,youssef,aya1,Dydy,C_H_S,C_H_S_2,STUDBME1,CMP_LAB1,CMP_LAB2,CMP_LAB3,Farouk,Mo_Hamza,sheren,location
-53,-51,-71,-100,-100,-100,-68,-100,-70,-72,-61,-100,-67,-100,-100,-43,-50,-100,-100,-100,-66,-66,-61,-100,-55,-100,-58,-100,-100,HW 32
-51,-47,-65,-100,-100,-100,-100,-100,-100,-100,-62,-100,-63,-61,-100,-47,-48,-100,-100,-79,-62,-63,-52,-100,-100,-100,-100,-100,-100,HW 32
-49,-43,-69,-100,-100,-100,-70,-100,-69,-100,-68,-67,-100,-100,-100,-54,-52,-100,-100,-78,-100,-100,-61,-100,-100,-100,-63,-100,-100,HW 32
-56,-46,-66,-100,-100,-100,-76,-100,-100,-100,-65,-100,-100,-60,-100,-52,-54,-100,-100,-84,-100,-100,-59,-100,-100,-100,-66,-72,-100,HW 32
-46,-40,-72,-100,-100,-100,-78,-100,-100,-100,-73,-100,-100,-100,-100,-52,-55,-100,-100,-84,-100,-100,-64,-60,-100,-100,-100,-100,-90,HW 32
-53,-50,-85,-100,-100,-100,-100,-100,-100,-100,-66,-100,-63,-64,-100,-46,-50,-100,-100,-100,-64,-65,-49,-100,-100,-100,-100,-100,-100,HW 32
-55,-46,-78,-100,-100,-100,-100,-100,-100,-100,-68,-69,-62,-63,-100,-53,-50,-100,-100,-100,-100,-63,-56,-62,-62,-60,-100,-100,-100,HW 32
-53,-41,-90,-100,-100,-100,-74,-100,-66,-70,-63,-100,-100,-100,-100,-50,-55,-100,-100,-78,-100,-100,-55,-100,-100,-100,-100,-100,-100,HW 32
-56,-48,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-67,-100,-100,-51,-100,-100,-100,-100,-68,-68,-100,-51,-100,-100,-64,-74,-100,HW 32
-53,-48,-100,-100,-100,-100,-100,-100,-71,-100,-71,-64,-100,-69,-100,-57,-57,-100,-100,-100,-100,-100,-100,-100,-100,-56,-57,-100,-79,HW 32
