WE_41B884,youssef,OPPO F9,STUDBME2,CMP_LAB3,El-modarag,Dydy,AndroidAP3AA9,sheren,01118809880,01141472186,Dlink,01118680688,STUDBME1,CMP_LAB4,Mariem,AG,C_H_S_3,C_H_S,C_H_S_2,C_H_S_4,01146880660,Daisy,CMP_LAB2,ARC3,Sbme-Staff,aya1,CMP_LAB1,location
-63,-81,-100,-68,-100,-68,-84,-44,-55,-88,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-88,-83,-100,-100,-100,-77,-100,HW 22
-65,-78,-100,-79,-100,-100,-81,-29,-53,-87,-82,-100,-100,-55,-100,-71,-74,-84,-84,-100,-100,-87,-100,-100,-100,-100,-100,-100,HW 22
-63,-81,-91,-70,-100,-100,-83,-39,-66,-81,-78,-100,-81,-58,-100,-68,-100,-100,-100,-100,-76,-80,-100,-72,-100,-100,-100,-73,HW 22
-65,-74,-84,-54,-100,-65,-90,-44,-72,-80,-75,-100,-100,-48,-100,-70,-100,-100,-100,-100,-100,-78,-100,-100,-100,-85,-70,-100,HW 22
-50,-73,-100,-57,-100,-100,-80,-40,-66,-90,-92,-100,-81,-50,-100,-65,-100,-74,-100,-100,-74,-87,-100,-62,-100,-100,-100,-100,HW 22
-45,-83,-77,-48,-100,-63,-77,-46,-71,-100,-100,-100,-100,-44,-100,-100,-100,-63,-64,-64,-63,-85,-100,-100,-100,-100,-100,-100,HW 22
-47,-100,-86,-53,-100,-69,-74,-47,-72,-88,-100,-100,-83,-100,-60,-68,-59,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,HW 22
-56,-80,-100,-57,-100,-100,-80,-45,-100,-91,-100,-100,-100,-51,-100,-69,-100,-100,-100,-100,-76,-100,-100,-100,-100,-100,-55,-100,HW 22
-57,-100,-100,-67,-65,-73,-81,-49,-68,-100,-100,-100,-85,-46,-64,-63,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-67,HW 22
-52,-75,-82,-48,-100,-100,-74,-49,-69,-93,-88,-100,-100,-61,-63,-71,-100,-71,-70,-70,-71,-88,-100,-100,-78,-100,-66,-100,HW 22
-66,-78,-81,-57,-100,-67,-88,-43,-70,-100,-100,-100,-87,-41,-100,-69,-68,-73,-100,-100,-100,-88,-100,-100,-100,-79,-67,-100,HW 22
-64,-79,-86,-68,-100,-70,-85,-44,-68,-100,-78,-100,-100,-49,-100,-75,-100,-100,-100,-100,-100,-80,-100,-100,-100,-76,-62,-100,HW 22
-54,-70,-84,-67,-100,-71,-75,-43,-65,-100,-100,-100,-100,-53,-100,-62,-61,-70,-69,-68,-69,-87,-100,-66,-71,-100,-69,-67,HW 22
-64,-100,-100,-57,-100,-64,-100,-41,-76,-100,-100,-100,-100,-42,-100,-65,-100,-76,-73,-74,-100,-100,-100,-100,-100,-100,-74,-67,HW 22
-64,-100,-89,-58,-100,-62,-76,-48,-72,-100,-92,-100,-100,-52,-100,-75,-100,-77,-100,-78,-100,-100,-100,-100,-100,-100,-80,-100,HW 22
-52,-100,-100,-55,-100,-65,-78,-42,-77,-100,-100,-100,-100,-39,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-72,-100,HW 22
-58,-86,-100,-55,-68,-70,-100,-56,-72,-100,-88,-100,-100,-56,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,HW 22
-63,-100,-100,-58,-100,-100,-100,-41,-69,-100,-100,-100,-100,-41,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,HW 22
-52,-100,-100,-57,-100,-68,-100,-45,-100,-100,-100,-100,-100,-48,-100,-59,-100,-100,-100,-77,-77,-100,-100,-71,-100,-100,-100,-100,HW 22
-55,-100,-100,-52,-100,-68,-100,-47,-69,-100,-100,-100,-100,-45,-100,-64,-100,-78,-80,-76,-77,-85,-100,-100,-71,-100,-74,-100,HW 22
-62,-100,-100,-63,-100,-100,-85,-47,-100,-100,-100,-100,-100,-43,-100,-68,-100,-78,-100,-78,-78,-84,-100,-100,-66,-100,-100,-100,HW 22
-64,-100,-84,-56,-100,-74,-100,-43,-69,-100,-100,-100,-100,-44,-100,-54,-66,-100,-100,-100,-100,-100,-100,-100,-69,-100,-70,-100,HW 22
-66,-100,-84,-56,-100,-100,-100,-34,-68,-100,-100,-100,-100,-51,-100,-70,-100,-100,-81,-100,-100,-100,-100,-100,-100,-85,-72,-100,HW 22
-65,-100,-83,-63,-71,-69,-82,-29,-71,-100,-100,-100,-100,-53,-100,-66,-100,-82,-83,-82,-85,-100,-100,-100,-100,-100,-68,-100,HW 22
-60,-79,-89,-68,-100,-100,-90,-28,-69,-90,-100,-100,-100,-56,-72,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,HW 22
-62,-79,-88,-70,-100,-70,-100,-55,-72,-100,-100,-100,-87,-57,-100,-64,-59,-100,-100,-100,-100,-92,-100,-100,-64,-100,-84,-100,HW 22
-62,-83,-85,-62,-100,-67,-85,-46,-67,-100,-86,-100,-100,-46,-100,-100,-100,-76,-100,-77,-100,-100,-100,-100,-100,-100,-80,-100,HW 22
-68,-80,-100,-62,-100,-100,-83,-47,-76,-100,-100,-100,-85,-52,-100,-64,-65,-100,-78,-100,-100,-100,-100,-100,-100,-100,-72,-100,HW 22
-58,-82,-100,-66,-100,-68,-85,-37,-74,-100,-100,-100,-85,-48,-100,-58,-100,-100,-77,-79,-100,-100,-100,-100,-100,-100,-74,-100,HW 22
-58,-100,-85,-59,-100,-100,-100,-38,-75,-84,-100,-100,-100,-45,-100,-63,-100,-100,-100,-100,-100,-84,-100,-100,-100,-76,-74,-68,HW 22
-62,-78,-89,-55,-100,-100,-87,-41,-70,-82,-100,-100,-86,-46,-100,-62,-100,-100,-75,-73,-71,-100,-100,-100,-74,-100,-76,-69,HW 22
-63,-76,-83,-60,-100,-67,-89,-37,-81,-82,-81,-100,-86,-56,-100,-100,-100,-75,-75,-77,-74,-84,-100,-100,-100,-100,-76,-100,HW 22
