youssef,01118680688,aya1,sheren,Mariem,CMP_LAB4,01118809880,WE_41B884,El-modarag,STUDBME2,Avaya,C_H_S_4,C_H_S_2,AndroidAP3AA9,AG,Gamil,ATHAR,STUDBME1,Orange-,Dlink,01146880660,01141472186,CMP_LAB3,CMP_LAB1,CMP_LAB2,C_H_S,C_H_S_3,location
-80,-89,-100,-65,-74,-100,-88,-76,-100,-74,-89,-100,-87,-48,-83,-100,-100,-71,-100,-88,-88,-88,-100,-100,-77,-100,-87,HW 23
-77,-100,-77,-60,-75,-100,-87,-69,-100,-74,-100,-78,-100,-45,-100,-85,-100,-100,-100,-100,-100,-86,-100,-74,-100,-100,-79,HW 23
-77,-92,-72,-68,-100,-78,-90,-75,-69,-81,-100,-74,-100,-41,-100,-74,-100,-69,-100,-91,-88,-89,-78,-100,-100,-74,-100,HW 23
-77,-89,-74,-72,-77,-79,-87,-66,-71,-67,-100,-100,-83,-38,-82,-100,-100,-70,-100,-88,-100,-87,-100,-100,-100,-100,-100,HW 23
-82,-89,-75,-64,-71,-100,-90,-65,-73,-63,-100,-84,-100,-39,-85,-80,-100,-100,-100,-100,-90,-89,-100,-75,-74,-100,-84,HW 23
-75,-86,-77,-74,-100,-100,-84,-70,-100,-73,-100,-100,-100,-38,-100,-90,-92,-65,-100,-87,-100,-90,-100,-100,-100,-100,-100,HW 23
-78,-88,-100,-69,-77,-100,-100,-69,-78,-76,-100,-100,-74,-37,-100,-100,-100,-63,-100,-100,-89,-90,-100,-77,-100,-100,-72,HW 23
-75,-86,-71,-68,-72,-100,-82,-68,-75,-68,-100,-100,-100,-51,-73,-77,-100,-69,-100,-88,-100,-83,-72,-72,-100,-100,-78,HW 23
-76,-88,-66,-70,-73,-100,-86,-70,-72,-74,-100,-100,-78,-54,-72,-100,-100,-67,-100,-100,-86,-100,-100,-100,-100,-79,-100,HW 23
-77,-86,-72,-63,-70,-74,-88,-72,-100,-75,-100,-100,-100,-43,-71,-85,-100,-68,-100,-100,-85,-100,-100,-76,-72,-100,-100,HW 23
