WE_41B884,aya1,Alaa1,Gamil,OPPO F9,STUDBME1,Mariem,CMP_LAB3,Alariny,CMP_LAB4,sheren,ARC3,youssef,El-modarag,STUDBME2,C_H_S,AndroidAP3AA9,Sbme-Staff,AG,CMP_LAB1,CMP_LAB2,Farouk,C_H_S_3,Alaa,redmi,Avaya,ARC1,C_H_S_4,RehabLab,El-lab,C_H_S_2,location
-66,-100,-100,-61,-100,-42,-46,-100,-100,-100,-100,-100,-100,-62,-73,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-69,-100,-100,-59,-100,-46,-45,-100,-100,-85,-100,-63,-100,-73,-63,-88,-48,-83,-77,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-87,HW 12
-76,-100,-100,-61,-100,-46,-44,-100,-100,-100,-100,-63,-100,-55,-64,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-66,-100,-100,-58,-100,-40,-54,-100,-100,-100,-100,-65,-100,-60,-66,-100,-46,-100,-100,-72,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-67,-100,-100,-60,-95,-43,-55,-70,-100,-70,-100,-63,-90,-65,-71,-100,-50,-78,-70,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,HW 12
-62,-100,-92,-61,-100,-44,-68,-100,-87,-100,-100,-68,-93,-66,-57,-100,-41,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,HW 12
-69,-100,-100,-72,-100,-46,-56,-100,-100,-100,-100,-100,-100,-66,-67,-100,-41,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
-68,-100,-100,-64,-92,-44,-54,-100,-100,-100,-100,-59,-100,-60,-68,-100,-45,-100,-76,-100,-100,-100,-87,-100,-100,-90,-100,-100,-100,-100,-100,HW 12
-70,-100,-100,-63,-91,-46,-50,-100,-100,-100,-76,-61,-94,-100,-64,-100,-45,-83,-100,-100,-69,-79,-100,-100,-100,-100,-83,-100,-100,-100,-81,HW 12
-64,-100,-100,-56,-94,-39,-50,-100,-100,-100,-75,-66,-100,-100,-65,-78,-55,-81,-69,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,HW 12
