Daisy,STUDBME2,WE_41B884,Alariny,El-lab,CMP_LAB4,CMP_LAB1,Mo_Hamza,C_H_S_3,C_H_S,C_H_S_4,C_H_S_2,AndroidAP3AA9,OPPO F9,CMP_LAB3,CMP_LAB2,Dydy,01146880660,Mariem,Dlink,location
-58,-59,-66,-46,-60,-100,-100,-74,-63,-100,-59,-100,-65,-85,-67,-100,-100,-81,-100,-100,EL 12
-65,-54,-63,-47,-55,-100,-100,-77,-100,-60,-61,-100,-100,-100,-100,-100,-94,-81,-100,-100,EL 12
-68,-45,-60,-48,-54,-100,-100,-76,-100,-100,-100,-100,-68,-86,-100,-100,-100,-100,-100,-86,EL 12
-56,-46,-57,-41,-100,-100,-100,-67,-100,-100,-100,-100,-57,-85,-69,-100,-92,-100,-100,-100,EL 12
-61,-50,-57,-47,-100,-100,-100,-68,-100,-59,-100,-100,-100,-84,-100,-100,-90,-100,-100,-100,EL 12
-56,-51,-54,-55,-67,-100,-100,-100,-65,-64,-65,-65,-53,-89,-68,-100,-100,-83,-77,-100,EL 12
-55,-45,-65,-51,-58,-68,-100,-71,-100,-100,-71,-100,-50,-80,-100,-100,-100,-87,-88,-100,EL 12
-55,-48,-62,-49,-66,-65,-68,-100,-100,-68,-68,-100,-50,-79,-100,-100,-100,-90,-100,-100,EL 12
-64,-49,-60,-51,-59,-100,-100,-100,-68,-67,-100,-66,-47,-81,-65,-100,-100,-88,-100,-100,EL 12
-64,-51,-54,-44,-60,-64,-100,-100,-67,-65,-67,-66,-54,-78,-100,-63,-87,-90,-100,-100,EL 12
-70,-49,-51,-100,-100,-100,-100,-100,-68,-65,-67,-66,-50,-79,-100,-100,-85,-100,-100,-100,EL 12
-63,-44,-48,-54,-56,-100,-100,-72,-100,-100,-100,-100,-52,-80,-62,-62,-89,-88,-83,-100,EL 12
-54,-45,-49,-48,-63,-100,-100,-75,-68,-68,-69,-100,-57,-81,-100,-100,-87,-85,-100,-100,EL 12
-62,-47,-51,-59,-61,-100,-100,-73,-56,-55,-56,-56,-53,-81,-61,-100,-100,-100,-100,-100,EL 12
-56,-49,-51,-49,-63,-100,-100,-69,-63,-57,-59,-60,-68,-75,-100,-100,-100,-100,-100,-100,EL 12
-70,-44,-50,-45,-69,-100,-100,-73,-57,-100,-59,-100,-56,-79,-68,-100,-100,-100,-100,-100,EL 12
-65,-41,-49,-48,-61,-100,-100,-73,-100,-59,-57,-100,-63,-82,-100,-100,-100,-100,-100,-90,EL 12
