WE_41B884,STUDBME2,Alaa1,RehabLab,STUDBME1,CMP_LAB4,Mariem,CMP_LAB1,C_H_S,C_H_S_2,node,AndroidAP3AA9,AG,01146880660,OPPO F9,Dlink,C_H_S_3,Gamil,01118809880,youssef,Alariny,El-lab,CMP_LAB3,Farouk,CUFE,C_H_S_4,IE_Lab,01141472186,01118680688,CMP_LAB2,Alaa,location
-44,-45,-100,-100,-56,-100,-71,-58,-64,-65,-71,-53,-53,-100,-69,-90,-64,-100,-100,-92,-100,-71,-58,-64,-100,-64,-100,-100,-100,-57,-100,HW 31
-42,-46,-73,-100,-65,-100,-70,-52,-100,-100,-100,-50,-52,-100,-72,-100,-100,-100,-100,-100,-75,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,HW 31
-48,-47,-80,-100,-59,-52,-75,-55,-61,-57,-77,-48,-58,-100,-70,-100,-59,-100,-100,-100,-100,-100,-100,-66,-100,-57,-100,-100,-100,-100,-100,HW 31
-46,-47,-80,-77,-65,-100,-73,-100,-100,-100,-77,-46,-50,-100,-73,-89,-62,-100,-100,-100,-100,-69,-53,-100,-100,-63,-100,-100,-100,-52,-100,HW 31
-44,-45,-80,-100,-61,-58,-74,-58,-64,-63,-100,-45,-55,-100,-71,-86,-100,-100,-100,-100,-100,-70,-100,-67,-100,-100,-100,-100,-100,-100,-100,HW 31
-48,-48,-79,-100,-59,-100,-100,-100,-66,-66,-100,-48,-59,-100,-71,-90,-67,-100,-100,-100,-68,-70,-56,-100,-100,-67,-100,-100,-100,-55,-100,HW 31
-43,-47,-77,-100,-56,-51,-100,-51,-63,-63,-100,-59,-60,-100,-74,-100,-64,-100,-100,-100,-100,-72,-100,-100,-100,-64,-100,-100,-100,-50,-100,HW 31
-44,-46,-70,-100,-58,-100,-81,-100,-58,-58,-72,-40,-61,-100,-69,-100,-58,-100,-100,-100,-100,-72,-51,-63,-100,-58,-100,-89,-100,-49,-100,HW 31
-50,-48,-72,-100,-100,-56,-73,-100,-100,-100,-73,-42,-50,-100,-75,-100,-61,-100,-92,-100,-100,-100,-57,-68,-100,-65,-100,-100,-100,-100,-100,HW 31
-37,-47,-78,-100,-57,-54,-70,-100,-65,-100,-100,-46,-57,-100,-77,-100,-100,-100,-100,-100,-64,-100,-54,-70,-100,-64,-100,-92,-100,-100,-75,HW 31
-41,-47,-100,-100,-61,-100,-100,-55,-64,-63,-100,-36,-64,-100,-100,-100,-64,-100,-100,-100,-100,-76,-100,-64,-100,-65,-100,-100,-100,-56,-75,HW 31
-45,-48,-83,-81,-63,-55,-73,-100,-60,-100,-81,-47,-68,-100,-71,-100,-100,-100,-100,-88,-67,-69,-54,-100,-100,-100,-100,-100,-100,-100,-100,HW 31
-43,-47,-77,-100,-58,-100,-100,-64,-61,-62,-100,-50,-55,-100,-70,-100,-62,-100,-100,-100,-75,-75,-100,-75,-100,-61,-100,-100,-100,-64,-100,HW 31
