WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,location
-68,-100.0,-63,-72,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-73.0,-49.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-56,-80.0,-57,-100,-100.0,-51.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-58,-100.0,-58,-100,-100.0,-58.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-57.0,-75.0,-100.0,-100.0,-100.0,-100.0,10
-74,-85.0,-70,-73,-77.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,6
-71,-73.0,-65,-76,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-74,-80.0,-74,-79,-100.0,-65.0,-78.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-44,-89.0,-49,-100,-100.0,-51.0,-100.0,-64.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,9
-41,-90.0,-53,-58,-100.0,-62.0,-60.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-77.0,-100.0,-100.0,-100.0,-100.0,9
-87,-94.0,-81,-100,-86.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-93.0,-100.0,-100.0,6
-52,-100.0,-49,-100,-100.0,-100.0,-100.0,-52.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.0,-69.0,-100.0,-100.0,-100.0,-100.0,10
-67,-100.0,-56,-100,-100.0,-100.0,-100.0,-78.0,-100.0,-100.0,-77.0,-49.0,-69.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-64,-100.0,-54,-100,-66.0,-49.0,-100.0,-100.0,-65.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,5
-66,-77.0,-67,-100,-71.0,-70.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-47,-100.0,-53,-100,-69.0,-100.0,-60.0,-100.0,-74.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,7
-73,-100.0,-72,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-45.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-59,-100.0,-56,-100,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-76.0,-58.0,-61.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,13
-77,-82.0,-70,-100,-73.0,-100.0,-75.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,8
-65,-100.0,-55,-100,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-67.0,-69.0,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,12
-59,-100.0,-53,-100,-100.0,-100.0,-48.0,-100.0,-100.0,-100.0,-100.0,-100.0,-79.0,-55.0,-71.0,-100.0,-100.0,-100.0,-100.0,11
-72,-88.0,-75,-100,-100.0,-64.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,6
-80,-92.0,-75,-100,-71.0,-46.0,-77.0,-100.0,-61.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,5
-66,-100.0,-100,-73,-65.0,-44.0,-100.0,-73.0,-100.0,-100.0,-71.0,-100.0,-100.0,-100.0,-100.0,-74.0,-100.0,-100.0,-100.0,5
